time stamp, twistx, twisty, twistz, odomx, odomy, odom_theta, odom_vx, odom_vy, odom_w, roll, pitch, yaw, accl_x, accl_y, accl_z
1.30006, -0,0.00104887,1, 0.228171,-0.0387538,0.794943,-0.142008,-0.0953763,-0.591699, -0.0326377,-0.0190241,1.53275,0.637432,0.17652,8.02184
1.31005, -0,0.00104887,1, 0.229782,-0.038941,0.799076,-0.0991801,-0.128295,-0.41325, -0.0324631,-0.0188496,1.54374,-0.127486,-0.431493,9.47322
1.32005, -0,0.00104887,1, 0.231427,-0.0393743,0.802551,-0.0834014,-0.148254,-0.347506, -0.0322886,-0.0176278,1.55439,0.608012,-0.20594,10.9638
1.33009, -0,0.00104887,1, 0.233234,-0.0396735,0.806871,-0.103688,-0.15093,-0.432034, -0.0324631,-0.0165806,1.56504,0.676659,0.107873,11.513
1.34005, -0,0.00104887,1, 0.234839,-0.0392723,0.812694,-0.139754,-0.0885671,-0.582307, -0.0333358,-0.0165806,1.57586,0.372653,-0.20594,10.7481
1.35004, -0,0.00104887,1, 0.236699,-0.0388559,0.819269,-0.157787,-0.106975,-0.657444, -0.0340339,-0.0174533,1.58668,0.0686466,-0.470719,8.94367
1.36012, -0,0.00104887,1, 0.23859,-0.0384896,0.825749,-0.155532,-0.113691,-0.648052, -0.034383,-0.0176278,1.59715,0.872792,-0.245166,8.56121
1.37009, -0,0.00104887,1, 0.240414,-0.0380818,0.832136,-0.155532,-0.104674,-0.648052, -0.0331613,-0.0158825,1.61844,0.608012,-0.431493,10.6598
1.38004, -0,0.00104887,1, 0.242316,-0.0380705,0.837489,-0.128483,-0.140176,-0.535347, -0.0328122,-0.0150098,1.62892,0.490333,-0.549172,11.5032
1.39015, -0,0.00104887,1, 0.244248,-0.038016,0.843031,-0.132991,-0.14027,-0.554131, -0.0322886,-0.0148353,1.63974,0.490333,-0.245166,10.8167
1.4001, -0,0.00104887,1, 0.246508,-0.03806,0.849135,-0.146516,-0.172109,-0.610483, -0.0322886,-0.0148353,1.63974,0.490333,-0.245166,10.8167
1.41005, -0,0.00104887,1, 0.248739,-0.0381553,0.854958,-0.139754,-0.174223,-0.582307, -0.0319395,-0.0151844,1.65038,0.372653,-0.166713,8.8554
1.42002, -0,0.00104887,1, 0.2502,-0.0377804,0.860124,-0.123975,-0.0859842,-0.516563, -0.0319395,-0.0151844,1.66086,0.225553,-0.0490333,8.60043
1.4301, -0,0.00104887,1, 0.252192,-0.0381218,0.864444,-0.103688,-0.173471,-0.432034, -0.0321141,-0.0146608,1.67133,0.715885,-0.735499,10.4735
1.44008, -0,0.00104887,1, 0.253921,-0.0379033,0.869798,-0.128483,-0.117635,-0.535347, -0.0326377,-0.0139626,1.6818,0.490333,0.02942,9.90472
1.45011, -0,0.00104887,1, 0.25566,-0.0374207,0.875997,-0.14877,-0.102279,-0.619876, -0.0336849,-0.0136136,1.69245,-0.0882598,-0.00980665,11.464
1.46005, -0,0.00104887,1, 0.257367,-0.0369616,0.882008,-0.146516,-0.0999784,-0.610483, -0.034383,-0.013439,1.70309,0.294199,-0.431493,10.9344
